id,membercount,Name,Engagement % (Last 30 Days),Activity Score (Last 30 Days),Installed Date,Category
05f732d5-8dfd-47c0-bac8-462f97f511be,2550,Support Pushapam Priya Chaudhary To Change Bihar,0,0,43923,Politics
060c7a03-c683-403b-88e8-9ef0b75e3846,311,Ruijie & VAD & Sub-D Collaboration Group,286.0335196,8.142857143,44030,Business-Brand
06376bcd-9e14-4f93-b605-b600c4d2d495,1154,Global Womenpreneur Clique,715.3019024,11.64327485,43853,Learning & Education
065767a7-aace-4031-8737-c3ecbebeaf2d,23866,TRANSPORT तक,0,0,43959,Vehicles & Commutes
07002825-04a0-40bf-8ace-fd4d9bc16d2b,28968,Marvel Cinematic Universe (MCU) Fan club,13.78158783,14.82213439,43965,Entertainment
07be1651-3d6c-4a3c-b828-ef85b482aec9,1342,India Bettachoice,0,0,43919,Hobbies & Interests
0827f327-47c0-4689-a001-07e7efd68b79,59,NA,0,0,01-09-2019,NA
087e5ffc-5c0e-4bb6-a40b-9c2faf025f6f,122,NA,0,0,01-09-2019,NA
072265dc-47f0-44c1-9f3e-13803f0d1aaf,15200,kids learning with mom,195.5408025,69.21729958,43993,Learning & Education
074b153a-4a14-4bba-9733-3bca51c956f6,9145,"""VSB"" న్యూస్",2.689994533,2.671641791,43909,Politics
07bbeffa-b450-4027-87bb-60644153472b,628,MXSII TECH Yamunanagar,0,0,43901,Entertainment
07e1cff7-f725-454f-8071-cf7fb80803dd,415,MKCL Learners - Ready for 21st Century Careers,4.245283019,0.8,43928,Learning & Education
07f9bbe0-9eda-479d-8450-25e5b9d20843,3909,Tourism & Hospitality Updates,0,0,43984,Travel
0888716e-a19d-4b44-96ac-cbec0c34b639,1034,GeM Community,103.3395176,4.304761905,43989,Other
08b51457-40db-477d-8fdc-914a8cef1b93,57,NA,0,0,01-09-2019,NA
09530d69-084f-4b23-a72c-d9b87cecf968,4042,National Web Media,6.759098787,3.014705882,44000,Entertainment
09e889e4-2192-40f6-90c4-a0f0a92b4955,1918,Maa2Mom Kandivali ®️-The Hyperlocal,157.0773931,14.73979592,43840,Neighborhood/Local Groups
0b3fcb9a-6658-4f5b-b4cf-f77a6b78422a,709,Corporate DSA - Finance Plus,0,0,43849,Other
0b6c1e65-a0ec-47c8-ba48-feda5b4d6c14,5671,Government jobs in Tamil Nadu,0,0,43939,Jobs & Careers
0baeca8c-9689-40d2-bb57-cf3afb7dac11,2243,Kidz and Parents of India,859.4417793,34.89617486,44006,Parenting
0bc3369a-8d2d-448a-8a6d-86132455ba52,4302,NARI Sangathan women forum ( NGO) 🤝👩‍⚕️👧👩‍🏫👩‍🔬👩‍💻👩🧕🤝,17.73593677,57.69230769,44034,Others
0bd47459-c58f-46fb-818d-d4ab0163c5ec,346,Venus Industries Kanpur,0,0,43965,Other
0c0b7942-0dbe-4939-a586-c4bb53fdc4dd,52,NA,0,0,01-09-2019,NA
0c1ffb80-4e93-4d41-9eb0-53495891e29b,1007,Mahajan's Matrimonial,23.43594836,5.555555556,43987,Other
0d1b10eb-6978-493d-8d69-167eb0dd603a,2904,www.NaukariMilGai.Org,0,0,43939,Jobs & Careers
0d28a295-705e-488a-b248-67fdf5412634,5024,ಕುಂದಾಪ್ರ,0,0,43918,Neighborhood/Local Groups
0dc3d3eb-11c4-494d-94be-8118eab6c1de,192,NA,0,0,01-09-2019,NA
0e601086-5976-4da6-9e06-3ec248504a72,56,NA,0,0,01-09-2019,NA
0eb77356-c81b-41e0-aa64-469dd34812fd,28327,"Makeup, Style and Beauty! A Lifestyle Choice!!!",245.2881428,55.45211039,43965,"Lifestyle, Beauty & Makeup"
0f70daa1-10f7-45ba-8199-2ce8ba07262c,1200,Food Festivals of Kolkata,32.49390739,1.684563758,43925,Food & Drink
0f71bc9e-3fa8-41b3-8b86-95da733a0abd,685,WPretarget - Retargeting Made Easy,0,0,43915,Learning & Education
08c2bbfc-2f6b-46e9-a4eb-4d2152c0251d,562,Best Adventure Tours & Travels in Hyderabad-India,0,0,43976,NA
08f61d99-acbe-430c-8a25-dad4d3e4fba9,6779,बिजली वितरण म.प्र. पूर्व क्षेत्र,32.77567646,7.406716418,44015,Business-Brand
09390370-0e33-4022-ba4b-9e5d18462755,1773,RRB Group D Study Group,1.805869074,0.066666667,44007,Learning & Education
094f9d8f-1a98-4b33-be8e-292c00376818,121,NA,0,0,01-09-2019,NA
09feecbe-7e30-4b4f-9bac-1d6cba5e51f3,116,NA,0,0,01-09-2019,NA
0a62b18b-c614-40dd-8da2-4a24b59d9287,53,NA,0,0,01-09-2019,NA
0b124d32-b4d0-485c-a464-2e888900cf0b,692,Great Indian Recipes & Ideas,521.388102,27.7578125,44020,Cooking & Recipes
0bca9783-47a8-402f-a8d4-01f755b7fd28,60,NA,0,0,01-09-2019,NA
0c360694-337a-4c6d-85cb-cb3addad1403,3104,ITractor grow and scale your IT business,0,0,43839,Others
0c5952cf-0071-4f34-9b8b-2ca4b603eb7e,101,NA,0,0,01-09-2019,NA
0c77ae37-e348-400a-a5d3-1face35f5778,62,NA,0,0,01-09-2019,NA
